source,target,weight
70551,1342524,1
1439430,1439431,1
1439431,1439430,1
26735,92574,1
92574,26735,1
859054,48134,1
48134,859054,1
65524,567359,1
567359,65524,1
761988,761989,1
761989,761988,1
260152,2326464,1
2326464,260152,1
2326468,2326470,1
2326469,2326470,1
2326470,2326468,1
2326470,2326469,1
61630,61631,1
61631,61630,1
232085,232086,1
232085,232087,1
232086,232085,1
232086,232087,1
232087,232085,1
232087,232086,1
645966,72814,1
72814,645966,1
54970,894369,1
54970,46312,1
894369,54970,1
894369,46312,1
46312,54970,1
46312,894369,1
911318,548977,1
548977,911318,1
407479,919692,1
391235,919692,1
919692,407479,1
919692,391235,1
26735,55335,1
55335,26735,1
64783,441943,1
441943,64783,1
20464,20,1
20,20464,1
1147594,1147595,1
1147595,1147594,1
301723,301722,1
301722,301723,1
1487683,1487684,1
1487684,1487683,1
11801,23373,1
23373,11801,1
28638,1517077,1
1517077,28638,1
50594,741497,1
69395,20640,1
20640,69395,1
28816,210154,1
28816,470343,1
210154,28816,1
210154,470343,1
470343,28816,1
470343,210154,1
30292,19940,1
19940,30292,1
859801,681228,1
681228,859801,1
1692589,814806,1
369997,2086359,1
2086359,369997,1
1007601,2137767,1
1007601,2137768,1
1007601,2137769,1
2137767,1007601,1
2137767,2137768,1
2137767,2137769,1
2137768,1007601,1
2137768,2137767,1
2137769,1007601,1
2137769,2137767,1
2137780,2137782,1
2137781,2137782,1
2137782,2137780,1
2137782,2137781,1
650806,2194656,1
2194656,650806,1
166554,20,1
189386,2317368,1
2317368,189386,1
298537,749030,1
749030,298537,1
93465,2317429,1
2317429,93465,1
20,2326501,1
306632,306633,1
306633,306632,1
329929,329930,1
329930,329929,1
362866,362868,1
362866,362869,1
362867,362868,1
362867,362869,1
362868,362866,1
362868,362867,1
362868,362869,1
362868,362870,1
362869,362866,1
362869,362867,1
362869,362868,1
362869,362870,1
362870,362868,1
362870,362869,1
256060,68173,1
20,631098,1
631098,20,1
631098,20,1
20,631098,1
693318,351272,1
351272,693318,1
90900,782040,1
782040,90900,1
20,972029,1
972029,20,1
1069970,236709,1
236709,1069970,1
329929,1128752,1
1128752,329929,1
1165796,1165797,1
1165797,1165796,1
426171,1258220,1
1258220,426171,1
66728,20688,1
20688,66728,1
98392,1311141,1
1165796,1324350,1
1324350,1165796,1
390766,404641,1
404641,390766,1
19031,38691,1
38691,19031,1
3940,101256,1
101256,3940,1
1643992,1643994,1
1643992,1643995,1
1643993,1643995,1
1643994,1643995,1
1643995,1643992,1
1643995,1643993,1
1643995,1643994,1
1014290,687056,1
687056,1014290,1
1977580,2086365,1
2086365,1977580,1
451010,732257,1
451010,57250,1
732257,451010,1
732257,57250,1
57250,451010,1
57250,732257,1
63648,93465,1
152182,93465,1
93465,63648,1
93465,152182,1
2317365,2317366,1
2317366,2317365,1
1527853,989374,1
989374,1527853,1
20,2317474,1
2317477,20,1
602323,2317527,1
602323,289914,1
2317527,602323,1
2317527,289914,1
289914,602323,1
289914,2317527,1
2337174,2337175,1
2337175,2337174,1
18713,2337375,1
2337374,2337375,1
2337375,18713,1
2337375,2337374,1
173339,173340,1
173340,173339,1
330007,100507,1
100507,330007,1
20,346384,1
362199,20,1
208286,345784,1
208286,208287,1
208286,743415,1
345784,208286,1
345784,208287,1
345784,743415,1
208287,208286,1
208287,345784,1
743415,208286,1
743415,345784,1
65524,130017,1
130017,65524,1
40817,2681,1
2681,40817,1
864608,29434,1
864608,171803,1
29434,864608,1
29434,171803,1
171803,864608,1
171803,29434,1
957461,957463,1
957462,957463,1
957463,957461,1
957463,957462,1
988426,988427,1
