source,target,weight
606500,1979625,1
606500,674553,1
606501,606500,1
606501,690990,1
606501,27093,1
606501,1979625,1
606501,674553,1
690990,606500,1
690990,606501,1
690990,27093,1
690990,674553,1
27093,606500,1
27093,606501,1
27093,690990,1
27093,1979625,1
27093,674553,1
1979625,606500,1
1979625,606501,1
1979625,27093,1
1979625,674553,1
674553,606500,1
674553,606501,1
674553,690990,1
674553,27093,1
674553,1979625,1
1980280,1980281,1
1980281,1980280,1
1984731,1984733,1
1984732,1984733,1
1984733,1984731,1
1984733,1984732,1
1985086,20298,1
1985086,1985087,1
20298,1985086,1
20298,1985087,1
1985087,1985086,1
1985087,20298,1
6989,32356,1
32356,6989,1
101031,101033,1
101032,101033,1
101033,101031,1
101033,101032,1
111493,40678,1
40678,111493,1
177447,20,1
46511,209005,1
209005,46511,1
46511,209214,1
209214,46511,1
220536,127187,1
127187,220536,1
203981,1196,1
203981,251254,1
1196,203981,1
1196,251254,1
251254,203981,1
251254,1196,1
258856,304466,1
304466,258856,1
7591,320776,1
7591,33588,1
320776,7591,1
320776,33588,1
33588,7591,1
33588,320776,1
194289,361381,1
194289,361382,1
361381,194289,1
361381,361382,1
361382,194289,1
361382,361381,1
408664,33588,1
33588,408664,1
26138,73805,1
472002,288094,1
472002,16463,1
472002,472003,1
288094,472002,1
288094,16463,1
288094,472003,1
16463,472002,1
16463,288094,1
472003,472002,1
472003,288094,1
568106,62621,1
568106,243476,1
62621,568106,1
62621,243476,1
243476,568106,1
243476,62621,1
40297,31559,1
40297,223834,1
31559,40297,1
31559,223834,1
223834,40297,1
223834,31559,1
20,585533,1
20,585535,1
585532,585535,1
585533,585535,1
585534,585535,1
585535,20,1
585535,585532,1
585535,585533,1
585535,585534,1
597448,597449,1
597448,597450,1
597449,597448,1
597449,597450,1
597450,597448,1
597450,597449,1
18718,52576,1
52576,18718,1
617973,84881,1
617973,20,1
84881,617973,1
20,617973,1
299214,629622,1
299214,629623,1
629622,299214,1
629622,629623,1
629623,299214,1
629623,629622,1
677179,677180,1
677180,677179,1
26358,379255,1
23384,379255,1
379255,26358,1
379255,23384,1
379255,375123,1
375123,379255,1
436198,639740,1
639740,436198,1
231567,231568,1
278402,52795,1
52795,278402,1
32625,732956,1
32625,732957,1
732956,32625,1
732956,732957,1
732957,32625,1
732957,732956,1
754948,754949,1
754948,754950,1
754949,754948,1
754949,754950,1
754950,754948,1
754950,754949,1
32937,23476,1
23476,32937,1
106281,27278,1
106281,325604,1
27278,106281,1
27278,325604,1
325604,106281,1
325604,27278,1
575322,60611,1
60611,575322,1
39861,40297,1
40297,39861,1
69052,884116,1
69052,309536,1
706530,309536,1
884116,309536,1
309536,69052,1
309536,706530,1
309536,884116,1
907517,67,1
914342,914343,1
914343,914342,1
940907,940908,1
940907,646101,1
940908,940907,1
940908,646101,1
646101,940907,1
646101,940908,1
956884,500497,1
956884,294218,1
500497,956884,1
500497,294218,1
294218,956884,1
294218,500497,1
139104,629985,1
629985,139104,1
977347,848651,1
14706,60611,1
60611,14706,1
22461,22462,1
