source,target,weight
1711798,1711800,1
1711798,1711801,1
1711798,1711802,1
1711799,1711797,1
1711799,1711798,1
1711799,1711801,1
1711800,1711797,1
1711800,1711798,1
1711800,1711801,1
1711801,1711797,1
1711801,1711798,1
1711801,1711799,1
1711801,1711800,1
1711801,1711802,1
1711802,1711797,1
1711802,1711798,1
1711802,1711801,1
1866301,136410,1
136410,1866301,1
2018313,20,1
20,2018313,1
